Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-10-30,7407,Orange,Fruits,112,24.4,20.1,3.5,4.0,34.9,355,93,Breakfast,505
2024-10-03,8677,Butter,Dairy,374,49.4,35.6,24.9,3.4,13.8,197,235,Snack,449
2024-09-14,9840,Pasta,Grains,491,38.2,55.0,13.8,8.3,28.6,696,225,Lunch,844
2024-07-31,9040,Rice,Grains,194,36.8,85.1,12.2,7.3,37.0,357,152,Dinner,348
2024-01-19,8284,Tomato,Vegetables,180,34.8,84.5,49.1,5.1,2.9,982,196,Dinner,312
2024-01-14,6160,Nuts,Snacks,506,34.0,19.2,10.4,5.6,4.1,164,245,Snack,947
2024-04-13,7670,Orange,Fruits,123,46.0,24.3,4.8,8.0,23.4,640,289,Lunch,349
2024-02-24,2448,Spinach,Vegetables,421,31.0,22.7,22.2,2.7,14.1,297,169,Lunch,196
2024-03-12,4580,Green Tea,Beverages,476,46.7,12.8,31.0,2.8,47.0,368,196,Lunch,101
2024-03-21,8884,Broccoli,Vegetables,256,27.2,37.0,37.2,6.4,0.2,717,201,Lunch,864
2024-04-10,8840,Beef Steak,Meat,120,24.9,68.0,29.9,1.0,25.8,211,81,Dinner,390
2024-03-04,5149,Carrot,Vegetables,196,28.7,55.0,3.2,6.1,17.7,121,260,Dinner,186
2024-03-16,7856,Eggs,Meat,185,1.6,66.3,29.2,8.0,49.1,691,56,Breakfast,529
2024-04-03,7078,Coffee,Beverages,355,20.3,39.0,21.3,6.2,10.3,882,149,Dinner,978
2024-12-29,8274,Yogurt,Dairy,599,9.8,38.1,20.3,2.3,23.9,187,179,Snack,720
2024-05-28,9,Nuts,Snacks,178,8.5,37.8,44.9,2.1,49.9,79,156,Breakfast,300
2024-12-16,5836,Yogurt,Dairy,168,36.5,6.8,25.0,6.8,11.5,241,231,Snack,440
2024-05-14,1902,Butter,Dairy,383,8.9,41.2,25.4,8.4,43.6,821,68,Lunch,829
2024-09-06,5960,Chips,Snacks,408,9.3,13.0,18.8,0.2,35.8,864,247,Breakfast,929
2024-01-15,8781,Paneer,Dairy,549,6.9,75.0,43.1,5.8,39.2,437,85,Breakfast,411
2024-11-14,4144,Quinoa,Grains,279,47.6,47.1,38.7,3.9,24.2,330,67,Breakfast,557
2024-01-06,7315,Bread,Grains,123,41.6,30.0,25.3,0.6,13.1,979,46,Breakfast,831
2024-05-28,8308,Beef Steak,Meat,192,12.1,28.7,32.3,2.3,48.0,325,186,Snack,802
2024-10-28,6019,Coffee,Beverages,483,37.3,67.2,48.1,9.4,10.1,742,24,Snack,335
2024-07-31,4217,Butter,Dairy,566,2.9,75.9,6.4,5.4,37.9,571,52,Breakfast,934
2024-12-31,6685,Cheese,Dairy,305,4.0,28.3,47.5,1.5,37.8,940,8,Breakfast,116
2024-05-25,2383,Oats,Grains,299,28.8,97.0,46.0,0.2,46.0,141,12,Breakfast,450
2024-05-04,7293,Apple,Fruits,529,36.4,19.4,30.9,8.1,20.5,140,128,Breakfast,691
2024-05-01,6711,Quinoa,Grains,204,3.1,73.5,32.9,3.5,14.2,953,140,Snack,370
2024-06-01,8944,Grapes,Fruits,471,12.2,14.0,37.5,0.1,33.9,629,222,Lunch,821
2024-08-25,600,Chips,Snacks,494,22.1,43.4,48.2,7.9,8.9,542,227,Breakfast,646
2024-02-28,1393,Popcorn,Snacks,78,35.1,42.8,39.1,5.3,40.7,944,9,Breakfast,694
2024-09-07,7735,Oats,Grains,406,5.5,18.9,48.0,7.4,25.9,427,100,Breakfast,325
2024-04-15,3187,Paneer,Dairy,461,9.1,68.2,28.6,1.0,22.3,851,132,Snack,431
2024-09-08,7836,Orange,Fruits,89,43.1,88.5,29.8,2.5,0.0,397,245,Dinner,207
2024-05-08,5549,Eggs,Meat,449,35.4,49.3,3.4,6.9,44.2,908,288,Lunch,536
2024-04-18,4767,Green Tea,Beverages,399,22.6,38.7,16.0,1.1,46.3,249,42,Dinner,622
2024-10-30,2633,Cheese,Dairy,242,29.8,18.4,20.7,4.0,23.9,219,108,Snack,131
2024-09-07,7695,Quinoa,Grains,237,37.1,62.6,44.4,3.6,21.8,868,169,Snack,987
2024-10-21,1333,Quinoa,Grains,580,3.3,8.2,27.6,7.7,2.1,169,180,Breakfast,194
2024-07-16,7681,Pork Chop,Meat,179,40.6,71.5,38.1,6.8,36.6,115,122,Dinner,175
2024-04-20,3343,Strawberry,Fruits,356,28.9,34.8,15.4,0.9,5.7,611,144,Dinner,750
2024-12-28,6210,Beef Steak,Meat,196,23.6,30.3,38.8,3.7,8.2,100,119,Dinner,736
2024-12-20,5847,Carrot,Vegetables,242,42.1,79.4,31.0,2.8,29.3,423,78,Lunch,795
2024-11-12,6911,Cookies,Snacks,68,33.1,11.1,45.3,8.3,37.6,228,149,Snack,237
2024-12-27,8927,Eggs,Meat,111,42.4,7.2,48.7,8.9,11.4,145,212,Dinner,516
2024-03-06,9418,Coffee,Beverages,497,29.6,95.6,39.1,0.3,24.2,687,226,Lunch,649
2024-11-29,7469,Orange,Fruits,251,13.2,78.8,35.8,2.4,37.3,45,201,Snack,944
2024-10-24,2653,Paneer,Dairy,484,36.5,89.2,4.1,6.9,45.1,632,142,Dinner,711
2024-01-15,3239,Nuts,Snacks,108,4.1,56.7,1.1,9.3,5.9,396,15,Breakfast,563
2024-08-19,7748,Grapes,Fruits,453,19.8,32.2,8.9,6.3,17.0,482,270,Lunch,651
2024-02-23,7615,Orange,Fruits,206,8.9,18.5,5.7,0.2,11.3,182,233,Dinner,549
2024-08-23,7165,Eggs,Meat,361,21.6,42.6,3.8,0.8,17.0,530,61,Dinner,862
2024-01-14,547,Water,Beverages,99,47.6,14.1,1.2,0.6,8.0,241,70,Dinner,566
2024-05-22,6703,Quinoa,Grains,142,37.4,8.9,42.5,8.5,21.4,417,18,Dinner,986
2024-10-18,9115,Pork Chop,Meat,479,27.7,12.4,11.5,9.8,44.0,243,43,Snack,201
2024-01-04,5013,Beef Steak,Meat,148,31.9,54.8,17.5,5.4,34.5,619,12,Lunch,720
2024-03-25,5190,Beef Steak,Meat,489,6.8,36.5,43.2,0.6,33.5,213,37,Snack,782
2024-04-19,9124,Orange Juice,Beverages,217,43.9,30.3,41.6,3.6,20.7,407,79,Breakfast,554
2024-04-16,7138,Pasta,Grains,467,1.0,71.0,38.1,4.9,40.0,302,289,Snack,631
2024-10-13,370,Tomato,Vegetables,281,19.6,36.5,25.6,7.1,4.2,61,121,Snack,507
2024-07-24,3901,Spinach,Vegetables,571,2.6,53.2,24.6,8.4,1.8,250,41,Breakfast,178
2024-11-25,5371,Popcorn,Snacks,495,23.2,60.9,46.9,9.3,48.7,92,12,Snack,957
2024-03-30,3537,Rice,Grains,147,48.5,24.3,14.9,6.2,6.5,290,15,Breakfast,906
2024-01-31,5559,Potato,Vegetables,390,49.4,55.7,25.3,7.4,36.3,683,136,Lunch,435
2024-10-28,3845,Grapes,Fruits,267,18.0,54.1,6.4,1.1,29.7,210,288,Dinner,751
2024-05-25,5729,Grapes,Fruits,238,3.4,34.2,7.2,0.8,47.0,385,6,Snack,672
2024-03-29,2359,Coffee,Beverages,351,45.9,19.2,1.7,0.2,39.5,553,98,Dinner,185
2024-05-23,279,Coffee,Beverages,113,25.2,63.0,43.2,3.6,11.3,397,224,Dinner,596
2024-07-05,8918,Pork Chop,Meat,444,48.7,77.4,31.4,0.7,22.3,923,203,Snack,397
2024-01-28,3556,Butter,Dairy,571,14.0,90.7,5.7,4.5,0.3,377,19,Lunch,191
2024-01-26,2998,Salmon,Meat,432,8.4,83.7,43.2,5.5,37.9,253,119,Dinner,133
2024-06-19,6197,Milk,Dairy,500,24.1,15.6,2.3,7.8,25.2,205,272,Breakfast,938
2024-01-25,3870,Pasta,Grains,479,44.4,18.9,15.9,7.2,29.1,207,17,Breakfast,632
2024-05-20,7242,Green Tea,Beverages,534,17.4,31.6,43.5,0.1,21.5,883,54,Breakfast,421
2024-04-10,4493,Cheese,Dairy,135,37.5,38.0,49.8,7.1,40.3,455,221,Breakfast,629
2024-03-11,4396,Milk,Dairy,78,35.3,94.8,40.4,2.4,46.8,626,59,Lunch,122
2024-07-28,2931,Pasta,Grains,53,41.2,82.3,5.8,8.2,31.5,554,140,Snack,457
2024-08-17,8697,Broccoli,Vegetables,420,49.7,36.4,36.2,5.0,40.0,119,198,Dinner,488
2024-04-16,7544,Popcorn,Snacks,576,7.0,23.0,2.7,0.6,17.4,595,202,Snack,385
2024-06-04,3881,Milk,Dairy,344,27.9,54.4,4.3,4.1,21.1,995,89,Lunch,169
2024-02-22,9053,Tomato,Vegetables,373,45.2,51.1,5.7,8.8,24.1,987,14,Breakfast,605
2024-05-20,9980,Spinach,Vegetables,106,35.4,21.9,20.3,5.8,42.5,992,52,Dinner,837
2024-07-11,6389,Yogurt,Dairy,52,44.0,17.8,33.6,5.5,35.8,151,298,Breakfast,274
2024-06-17,2441,Chocolate,Snacks,436,42.9,64.7,15.2,6.8,40.1,659,72,Lunch,918
2024-04-15,7377,Yogurt,Dairy,421,41.9,29.8,28.8,5.0,47.7,831,18,Lunch,405
2024-12-20,848,Water,Beverages,542,7.0,32.0,9.5,6.9,5.3,433,182,Snack,833
2024-06-18,9196,Strawberry,Fruits,302,17.8,53.2,39.9,0.4,21.8,20,172,Snack,324
2024-10-02,6807,Chicken Breast,Meat,583,7.1,8.1,44.5,5.3,44.6,590,74,Lunch,184
2024-10-14,6563,Salmon,Meat,424,42.8,81.3,1.8,8.2,27.4,445,65,Dinner,686
2024-11-21,4085,Apple,Fruits,578,28.9,48.4,36.8,3.6,37.2,465,80,Snack,838
2024-04-18,409,Butter,Dairy,288,20.7,61.8,11.0,7.3,2.7,160,39,Dinner,838
2024-10-09,778,Orange,Fruits,133,34.5,97.3,44.6,8.1,20.0,530,216,Breakfast,307
2024-03-05,9232,Eggs,Meat,427,34.3,83.0,43.0,7.3,38.0,594,102,Snack,869
2024-10-23,2455,Carrot,Vegetables,94,28.6,24.8,19.6,6.1,40.8,173,144,Dinner,489
2024-01-01,4912,Bread,Grains,538,46.6,7.7,4.1,7.6,12.9,842,129,Breakfast,445
2024-10-09,6308,Banana,Fruits,578,36.5,94.6,2.1,3.6,12.9,523,83,Snack,175
2024-04-09,502,Orange Juice,Beverages,443,49.7,18.4,20.2,8.2,0.7,412,149,Snack,705
2024-01-01,7061,Pasta,Grains,222,39.3,84.6,44.2,0.3,17.2,173,35,Breakfast,982
2024-05-30,5915,Quinoa,Grains,223,11.3,98.8,27.0,9.1,0.0,131,82,Lunch,751
2024-07-19,1352,Chicken Breast,Meat,575,10.6,32.7,27.4,6.3,26.6,362,85,Breakfast,378
2024-04-14,5513,Nuts,Snacks,373,22.2,55.8,17.4,6.3,8.4,396,220,Snack,761
2024-10-23,641,Popcorn,Snacks,217,48.6,93.0,30.4,0.6,20.2,720,138,Snack,814
2024-06-18,6686,Eggs,Meat,415,22.0,45.9,21.0,7.5,34.2,689,150,Dinner,793
2024-09-09,4850,Paneer,Dairy,217,35.0,39.3,7.3,6.4,13.2,362,139,Lunch,612
2024-03-11,3920,Cheese,Dairy,430,23.1,34.5,34.6,7.5,40.0,849,253,Breakfast,844
2024-07-04,6076,Apple,Fruits,294,39.9,48.1,47.3,9.5,39.3,652,220,Dinner,968
2024-06-15,7508,Grapes,Fruits,160,23.1,90.3,44.0,3.2,18.8,175,220,Breakfast,463
2024-05-13,5072,Pasta,Grains,157,36.6,66.1,19.5,3.6,18.2,809,102,Snack,499
2024-09-17,3274,Beef Steak,Meat,485,29.5,35.3,30.8,5.5,12.5,765,21,Lunch,747
2024-12-08,7245,Broccoli,Vegetables,519,30.2,35.0,23.8,1.1,3.4,237,1,Snack,831
2024-09-22,356,Oats,Grains,532,47.4,11.9,7.7,5.6,23.2,968,8,Lunch,397
2024-08-18,1069,Cookies,Snacks,590,34.3,75.0,22.3,1.2,2.3,915,206,Breakfast,994
2024-10-28,4951,Eggs,Meat,53,48.9,84.6,36.1,3.7,29.2,155,239,Lunch,392
2024-01-02,3806,Quinoa,Grains,469,23.1,63.0,38.5,4.1,30.7,11,268,Dinner,552
2024-06-12,3302,Grapes,Fruits,580,33.0,40.4,47.6,8.9,6.4,390,224,Breakfast,723
2024-07-19,3241,Milkshake,Beverages,453,7.4,85.1,25.4,4.7,9.2,358,174,Dinner,340
2024-09-05,4998,Cookies,Snacks,254,41.9,17.2,23.9,4.6,19.1,272,262,Dinner,773
2024-09-05,3387,Quinoa,Grains,569,43.4,6.4,44.4,9.2,41.7,175,25,Lunch,127
2024-09-28,7427,Green Tea,Beverages,475,5.8,58.0,39.8,7.8,4.6,664,152,Lunch,833
2024-01-29,1940,Popcorn,Snacks,51,11.5,26.0,27.4,3.9,38.6,631,93,Breakfast,209
2024-08-25,7962,Milkshake,Beverages,506,30.5,46.8,46.6,8.4,18.4,401,274,Breakfast,719
2024-11-23,6320,Pasta,Grains,591,48.3,49.7,49.3,1.1,1.5,749,98,Lunch,969
2024-05-20,3156,Cookies,Snacks,292,37.5,57.2,21.8,3.4,32.2,494,271,Breakfast,297
2024-10-02,7747,Salmon,Meat,228,44.7,5.0,35.5,8.6,14.3,741,264,Breakfast,320
2024-01-06,139,Yogurt,Dairy,366,11.0,17.8,43.8,4.0,27.1,296,208,Lunch,907
2024-01-09,2751,Grapes,Fruits,268,36.0,99.6,18.6,8.5,19.6,919,170,Dinner,398
2024-08-21,8900,Spinach,Vegetables,218,34.2,6.4,8.7,8.1,0.0,628,217,Breakfast,353
2024-01-09,9005,Coffee,Beverages,123,8.0,79.1,44.4,5.9,18.7,815,99,Dinner,778
2024-09-16,6990,Carrot,Vegetables,147,37.4,50.3,39.7,5.5,12.1,838,252,Breakfast,100
2024-12-03,5208,Rice,Grains,451,8.6,82.4,8.5,6.6,24.7,321,154,Lunch,622
2024-07-19,2390,Pork Chop,Meat,308,2.7,34.8,46.5,2.4,41.9,839,246,Breakfast,572
2024-10-02,682,Spinach,Vegetables,328,15.7,90.2,37.5,8.7,22.4,398,24,Breakfast,359
2024-01-08,7720,Pork Chop,Meat,551,42.8,92.9,2.4,4.5,48.5,739,32,Breakfast,118
2024-07-26,6036,Rice,Grains,168,6.4,70.5,20.4,2.4,9.3,293,221,Dinner,982
2024-08-20,6731,Popcorn,Snacks,115,13.1,6.4,46.4,3.4,21.4,41,131,Lunch,831
2024-10-29,2594,Tomato,Vegetables,284,5.6,56.2,8.9,1.5,24.7,966,250,Dinner,366
2024-03-14,5477,Paneer,Dairy,228,26.2,6.9,38.0,3.0,15.5,971,270,Snack,264
2024-01-24,2641,Milkshake,Beverages,369,26.8,94.5,48.3,8.0,8.1,407,171,Dinner,320
2024-12-20,8465,Rice,Grains,279,25.2,48.5,36.6,9.8,1.4,628,114,Dinner,613
2024-06-25,9178,Spinach,Vegetables,91,32.4,62.4,48.4,7.0,39.0,63,268,Snack,653
2024-08-17,4892,Grapes,Fruits,222,14.3,84.6,40.3,7.0,38.2,338,94,Dinner,643
2024-07-20,5892,Carrot,Vegetables,559,22.0,45.9,8.3,7.3,26.1,79,48,Dinner,926
2024-02-09,6868,Spinach,Vegetables,446,48.7,70.1,9.8,1.8,2.1,164,249,Lunch,319
2024-02-18,7340,Rice,Grains,474,16.2,77.2,25.5,9.4,11.3,692,56,Breakfast,160
2024-01-11,4517,Paneer,Dairy,283,14.0,83.8,4.6,0.9,1.0,692,278,Dinner,224
2024-02-20,3958,Strawberry,Fruits,559,2.6,96.6,18.2,9.1,19.7,599,297,Lunch,264
2024-03-10,9474,Grapes,Fruits,536,11.6,59.8,9.8,0.5,45.4,983,76,Snack,892
2024-05-27,2406,Oats,Grains,538,21.4,69.0,4.2,5.6,8.1,946,298,Breakfast,112
2024-04-22,5553,Chips,Snacks,192,1.8,94.1,25.1,1.9,41.0,390,274,Lunch,942
2024-11-29,9824,Pork Chop,Meat,327,12.7,5.4,24.4,3.5,47.9,54,134,Lunch,646
2024-04-02,9165,Strawberry,Fruits,158,8.6,30.3,8.2,3.3,4.1,0,153,Lunch,248
2024-04-23,3964,Quinoa,Grains,496,25.7,53.9,40.9,9.0,36.7,719,38,Lunch,871
2024-10-15,9400,Water,Beverages,78,18.5,33.8,33.2,2.5,28.6,592,25,Lunch,310
2024-07-11,4068,Paneer,Dairy,321,21.6,66.7,39.7,2.7,6.5,191,157,Snack,268
2024-01-27,7008,Water,Beverages,291,41.5,10.8,19.4,5.8,45.6,923,106,Snack,676
2024-01-02,2924,Strawberry,Fruits,518,26.3,51.9,29.0,2.3,8.4,56,117,Snack,615
2024-04-06,6447,Pork Chop,Meat,188,34.9,97.4,39.6,9.6,6.9,365,141,Breakfast,883
2024-09-15,3315,Rice,Grains,533,45.2,12.0,38.3,4.1,44.8,21,294,Lunch,175
2024-09-17,7763,Bread,Grains,364,31.4,95.1,14.4,0.4,23.5,913,204,Breakfast,825
2024-08-26,1448,Eggs,Meat,442,3.4,88.5,25.2,0.9,48.0,560,257,Dinner,732
2024-12-24,7970,Apple,Fruits,528,44.7,34.9,46.0,9.6,28.8,42,119,Breakfast,847
2024-02-12,448,Nuts,Snacks,569,43.7,25.2,44.6,8.0,39.6,875,206,Snack,364
2024-04-23,3841,Pork Chop,Meat,156,2.7,35.5,13.6,1.5,38.7,760,38,Breakfast,191
2024-01-03,436,Popcorn,Snacks,550,6.2,56.3,40.6,7.1,23.8,438,6,Dinner,595
2024-01-08,3654,Orange Juice,Beverages,322,13.6,9.4,12.4,5.1,21.2,151,53,Dinner,922
2024-08-08,1122,Green Tea,Beverages,317,32.9,27.8,14.4,0.7,2.2,832,293,Lunch,676
2024-02-03,5527,Yogurt,Dairy,339,42.1,49.7,45.4,7.8,14.9,285,84,Dinner,994
2024-01-10,3044,Nuts,Snacks,363,38.7,5.0,4.6,4.4,39.2,435,222,Snack,625
2024-02-10,8023,Orange,Fruits,281,45.4,32.6,14.7,3.3,17.7,17,156,Breakfast,134
2024-05-17,6477,Rice,Grains,555,13.9,53.1,6.8,3.6,7.2,927,109,Lunch,569
2024-03-05,7218,Coffee,Beverages,119,46.9,16.6,8.5,6.5,32.8,389,118,Breakfast,884
2024-01-17,8188,Yogurt,Dairy,551,44.2,38.6,25.5,0.9,29.2,823,8,Breakfast,731
2024-05-15,5571,Carrot,Vegetables,171,8.5,5.2,30.1,7.2,47.9,170,280,Breakfast,855
2024-10-30,2119,Salmon,Meat,494,33.1,92.0,46.6,3.6,30.3,156,55,Dinner,723
2024-08-28,4167,Paneer,Dairy,247,2.6,48.7,7.7,7.9,14.3,760,71,Lunch,852
2024-10-16,1840,Pork Chop,Meat,363,19.8,84.7,16.4,3.6,46.1,595,54,Breakfast,664
2024-11-30,492,Potato,Vegetables,242,11.6,97.5,14.1,4.4,32.9,505,92,Snack,485
2024-08-05,2296,Eggs,Meat,589,24.5,24.1,20.8,8.6,2.9,661,13,Dinner,248
2024-12-07,5258,Oats,Grains,264,16.7,11.1,4.1,2.6,16.7,195,169,Dinner,412
2024-12-11,3536,Tomato,Vegetables,402,2.4,77.0,25.6,4.2,21.6,883,0,Snack,735
2024-03-08,3014,Chips,Snacks,554,39.7,86.3,38.2,2.5,47.1,143,171,Dinner,980
2024-12-21,7869,Oats,Grains,572,42.3,29.4,40.5,1.8,29.1,139,202,Breakfast,513
2024-11-28,7295,Grapes,Fruits,154,35.6,48.7,2.1,1.4,37.3,594,8,Dinner,159
2024-03-29,3356,Banana,Fruits,217,1.5,89.4,19.5,0.3,40.3,656,115,Snack,116
2024-12-22,3474,Chocolate,Snacks,51,44.7,53.3,34.5,2.1,39.9,604,78,Snack,328
2024-07-01,4638,Yogurt,Dairy,527,29.5,27.7,2.1,5.5,14.7,237,85,Snack,394
2024-06-06,6718,Butter,Dairy,284,39.8,58.5,32.8,8.4,20.5,293,179,Breakfast,624
2024-01-26,1082,Carrot,Vegetables,348,21.9,79.9,21.8,1.5,48.3,941,163,Lunch,132
2024-05-25,5422,Milkshake,Beverages,173,30.2,63.0,45.4,4.3,40.5,532,119,Dinner,840
2024-11-13,9521,Milk,Dairy,377,9.8,88.1,33.2,1.0,26.5,427,14,Breakfast,988
2024-07-21,6847,Carrot,Vegetables,472,4.2,24.6,32.4,0.1,44.9,753,23,Dinner,898
2024-03-30,6533,Orange,Fruits,131,40.3,29.3,38.3,6.7,5.9,863,277,Dinner,858
2024-04-17,7228,Chocolate,Snacks,52,10.5,96.5,27.6,8.3,34.2,265,78,Lunch,251
2024-11-07,7797,Beef Steak,Meat,295,30.7,90.5,28.5,3.9,21.9,171,55,Dinner,181
2024-04-29,7613,Nuts,Snacks,370,25.3,18.0,18.2,8.3,15.8,140,148,Snack,125
2024-03-06,5476,Yogurt,Dairy,317,40.7,93.1,7.8,8.9,27.3,908,227,Breakfast,835
2024-02-07,2906,Grapes,Fruits,145,47.2,25.9,12.3,3.2,40.9,805,105,Snack,936
2024-01-08,4011,Potato,Vegetables,512,5.0,57.1,34.9,1.8,32.3,692,271,Lunch,456
2024-08-24,9934,Tomato,Vegetables,199,35.9,81.1,17.7,1.7,20.0,981,231,Breakfast,820
2024-03-22,7310,Banana,Fruits,336,5.6,28.8,10.0,3.0,1.8,77,22,Lunch,162
2024-07-17,7883,Salmon,Meat,293,47.7,66.7,17.6,7.2,18.9,950,266,Dinner,480
2024-03-09,1868,Water,Beverages,304,9.1,99.9,25.3,3.5,12.2,120,124,Lunch,979
2024-01-12,8342,Orange Juice,Beverages,257,43.7,71.4,28.6,4.7,8.9,484,237,Lunch,528
2024-02-07,9971,Orange,Fruits,235,11.2,40.0,7.5,6.2,25.2,300,148,Snack,457
2024-01-11,3942,Orange,Fruits,257,37.2,43.8,34.9,6.1,9.1,273,235,Breakfast,426
2024-12-22,5272,Bread,Grains,56,39.3,34.5,19.2,3.4,41.5,469,278,Lunch,117
2024-09-23,2817,Bread,Grains,108,6.1,27.0,13.1,0.3,18.1,505,15,Dinner,633
2024-03-13,8492,Butter,Dairy,139,14.5,21.2,46.8,6.8,27.8,587,173,Lunch,280
2024-08-17,9938,Bread,Grains,516,9.3,99.9,31.3,2.1,35.0,738,155,Dinner,988
2024-03-05,410,Orange,Fruits,129,1.8,16.6,15.4,8.8,6.3,899,249,Snack,500
2024-08-15,2698,Eggs,Meat,503,1.3,7.4,42.7,1.9,1.5,568,274,Snack,548
2024-09-18,654,Tomato,Vegetables,583,8.7,71.4,43.4,6.7,19.1,701,51,Lunch,710
2024-06-03,3656,Strawberry,Fruits,495,14.5,72.9,18.8,7.7,7.3,185,25,Lunch,544
2024-07-02,5716,Yogurt,Dairy,558,45.8,84.8,18.9,4.4,19.6,120,187,Snack,654
2024-06-05,9635,Coffee,Beverages,595,12.1,96.6,11.3,4.2,7.6,868,231,Dinner,693
2024-07-21,8503,Strawberry,Fruits,517,13.6,36.5,12.8,2.3,13.9,469,60,Breakfast,910
2024-09-22,8216,Broccoli,Vegetables,437,9.7,36.7,10.7,5.7,30.6,812,88,Breakfast,695
2024-12-22,4226,Broccoli,Vegetables,584,49.2,50.1,36.1,0.1,47.8,477,219,Lunch,175
2024-08-18,9131,Paneer,Dairy,395,45.5,12.6,32.4,4.1,16.9,413,57,Dinner,921
2024-05-07,6747,Milk,Dairy,504,16.8,53.9,5.5,1.1,14.5,896,28,Lunch,650
2024-12-21,5675,Potato,Vegetables,393,33.9,23.7,8.4,7.4,5.8,535,70,Breakfast,825
2024-10-15,2963,Cheese,Dairy,337,5.1,65.1,49.6,2.8,37.2,395,54,Lunch,119
2024-03-02,5154,Tomato,Vegetables,109,24.9,54.8,12.5,6.5,48.6,352,112,Dinner,870
2024-06-30,9349,Tomato,Vegetables,562,18.8,14.9,23.2,4.6,37.1,899,139,Lunch,542
2024-01-08,8324,Potato,Vegetables,543,6.0,86.3,22.4,0.0,36.3,974,290,Breakfast,505
2024-12-10,3839,Pork Chop,Meat,200,16.9,66.1,24.0,7.0,46.4,47,216,Breakfast,249
2024-08-08,6356,Bread,Grains,287,21.9,25.0,26.4,8.9,12.8,447,248,Lunch,938
2024-09-20,3734,Broccoli,Vegetables,389,28.7,11.5,24.3,4.0,21.5,260,245,Snack,516
2024-02-03,6333,Yogurt,Dairy,518,14.6,66.1,40.7,7.9,3.0,256,210,Dinner,194
2024-12-03,5528,Water,Beverages,467,43.0,29.1,27.1,4.2,25.7,555,92,Lunch,820
2024-08-15,9857,Pork Chop,Meat,251,24.7,28.7,14.9,8.1,45.2,216,130,Breakfast,107
2024-10-30,6952,Strawberry,Fruits,215,43.6,20.5,44.8,1.6,41.8,138,68,Snack,230
2024-09-11,7048,Banana,Fruits,335,15.7,68.2,11.0,4.3,47.2,935,9,Snack,701
2024-03-12,2053,Butter,Dairy,237,39.8,35.5,22.1,5.3,15.9,586,298,Snack,350
2024-01-30,8447,Salmon,Meat,487,4.7,56.4,1.4,8.4,34.6,246,253,Lunch,188
2024-12-31,792,Milkshake,Beverages,421,13.5,89.1,7.1,7.7,39.3,708,49,Breakfast,427
2024-04-04,5397,Cheese,Dairy,278,8.8,7.6,24.1,8.6,7.9,283,275,Dinner,912
2024-11-04,5352,Coffee,Beverages,582,5.5,13.9,4.0,9.8,26.2,983,277,Snack,975
2024-08-25,3115,Yogurt,Dairy,245,1.9,86.6,28.5,5.5,24.1,225,214,Dinner,949
2024-06-26,9567,Milk,Dairy,52,15.8,58.7,12.3,5.4,33.1,162,248,Lunch,126
2024-02-10,4795,Milk,Dairy,362,33.0,70.9,24.7,0.6,30.9,48,0,Snack,440
2024-10-28,2032,Quinoa,Grains,78,11.4,92.0,36.4,7.5,47.0,196,114,Lunch,270
2024-10-04,5382,Banana,Fruits,428,15.9,88.3,44.2,6.4,33.9,589,188,Breakfast,722
2024-03-03,8978,Salmon,Meat,587,2.2,61.7,45.1,7.1,41.3,339,67,Breakfast,779
2024-08-24,5786,Strawberry,Fruits,74,18.4,54.3,13.3,4.1,22.1,484,174,Dinner,932
2024-02-16,6507,Nuts,Snacks,537,26.6,93.8,25.9,3.7,22.4,503,200,Breakfast,429
2024-09-23,2237,Milkshake,Beverages,600,39.4,74.9,41.7,4.5,46.8,351,153,Snack,282
2024-01-25,695,Chips,Snacks,161,12.2,21.8,38.5,4.6,16.6,647,198,Lunch,233
2024-08-15,8892,Cookies,Snacks,332,40.0,70.4,44.3,0.1,36.1,13,159,Snack,589
2024-04-10,7960,Pork Chop,Meat,140,46.3,50.0,10.0,4.9,9.4,395,60,Snack,910
2024-09-17,2220,Banana,Fruits,411,17.8,53.7,43.0,3.2,12.5,497,12,Snack,260
2024-08-25,8287,Green Tea,Beverages,379,20.9,42.1,35.9,6.0,1.7,238,101,Lunch,763
2024-06-19,914,Nuts,Snacks,517,22.5,79.2,27.7,6.9,49.3,842,290,Breakfast,657
2024-05-18,8010,Broccoli,Vegetables,200,31.2,7.9,17.9,1.3,9.5,383,113,Breakfast,821
2024-10-01,7771,Paneer,Dairy,345,24.1,66.1,45.1,2.2,40.2,161,115,Dinner,869
2024-09-19,6543,Chicken Breast,Meat,298,42.6,47.5,14.2,5.0,26.3,800,14,Dinner,392
2024-12-09,5357,Popcorn,Snacks,415,31.5,33.9,48.6,1.9,29.6,326,187,Breakfast,405
2024-06-18,3767,Rice,Grains,152,35.0,46.4,23.8,9.4,25.8,62,170,Dinner,217
2024-09-11,1478,Butter,Dairy,381,39.6,78.1,32.1,0.8,39.0,134,87,Snack,678
2024-09-09,8747,Pork Chop,Meat,328,23.2,20.3,23.2,6.7,46.7,677,68,Lunch,963
2024-11-10,8205,Oats,Grains,329,6.9,77.9,22.1,0.4,3.2,158,81,Snack,806
